,values
0,2
1,4
2,3
3,2
4,1
5,1
6,1
7,4
8,3
9,6
10,1
11,4
12,2
13,1
14,2
15,1
16,3
17,2
18,1
19,2
20,1
21,4
22,1
23,3
24,1
25,2
26,1
27,3
28,2
29,4
