,values
0,4
1,11
2,39
3,29
4,31
5,53
6,23
7,48
8,32
9,4
10,21
11,47
12,41
13,39
14,13
15,48
16,39
17,12
18,42
19,7
20,27
21,22
22,45
23,20
24,24
25,1
26,32
27,34
28,4
29,23
